Organization,County,Program Name,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,Notes,Serves
Reading Connections,Guilford,Reading Connections,,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,,,901 N. Main Street,,High Point,27262,https://readingconnections.org/,(336) 884-7323,"RC is a nonprofit agency that provides innovative programs designed to improve literacy, language skills, educational equity, and self-esteem for adults in Guilford County, N.C.","COVID-19 update: classes cancelled until may; classes for ESOL, career coaching, computer literacy, high school equivalency, detention center literacy, adult education, and family literacy",
Greensboro Parks & Recreation,Guilford,Greensboro Parks & Recreation,,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,,,1001 Fourth St.,,Greensboro,27405,https://www.greensboro-nc.gov/departments/parks-recreation,336-373-2558,"The Greensboro Parks and Recreation Department exists to provide professional and diverse leisure opportunities through inclusive programs, facilities, parks, and open space, ensuring that Greensboro is a desirable place to work, live, and play.","COVID-19 update: Online programs will be live streamed on facebook as all programs on site have been cancelled or postponed. From March 16-27, all manned Parks and Recreation facilities, such as recreation centers, regional parks, and lakes, will be open limited hours of 10 am to 3 pm. Those facilities will be closed Sunday, March 22. All trails, greenways, and neighborhood parks will continue to be open dawn until dusk. ",
Guilford County Partnership for Children,Guilford,NC Pre-K,,8:30am -4:30pm,8:30am -4:30pm,8:30am -4:30pm,8:30am -4:30pm,8:30am -4:30pm,,,500 W. Friendly Ave. Suite 100,,Greensboro,27401,https://www.guilfordchildren.org/families/nc-pre-k-4-yr-olds/,336-274-5437,"The program is free to participants with the goal of helping young children (whose families financially qualify) prepare for kindergarten. NC Pre-K sites include public elementary schools, Head Start Centers and private childcare centers throughout Guilford County.","COVID-19: Beginning Monday, March 16, the Partnership office will be closed to the public. We will continue to accept 2020-2021 NC Pre-K applications by Drop-Off Only. We now have a drop box inside our office.  
You may drop off your NC Pre-K application, Monday to Friday.  When you enter our front door, just walk straight, and you will see the drop box in the door.  Please staple or paperclip your application and documents together.
",
Guilford County Child Development,Guilford,Head Start/Early Head Start,,,,,,,,,1200 Arlington Street,,Greensboro,27406,https://guilfordchilddev.org/,(336) 369-5097," a federally funded holistic child development program that promotes healthy prenatal care for pregnant women, enhances the development of very young children (ages 0 to 5), and promotes healthy family effectiveness.",COVID-19: Classes are cancelled and main offices are closed. Pick-up and Go/Bus Meal Delivery has begun for GCD families. Find the Pick-up and Go schedule on the website.,
Center for New North Carolinians,Guilford ,Thriving at Three,,,,,,,,,"915 W. Gate City Blvd., Suite A",,Greensboro,27403,https://cnnc.uncg.edu/thriving-at-three/,336.256.1066,"The purpose of Thriving at Three is to assure that Latino immigrant children in Greensboro have a positive and strong foundation from birth to three. The CNNC accomplishes this goal by delivering long-term at-home services to at-risk families until the child’s third year – partnering with the parents to provide direct intervention, parenting education, group meetings, case management, referrals, and care coordination for up to the child’s third year.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",
Center for New North Carolinians,Guilford ,Immigrant Health ACCESS Project,,,,,,,,,"915 W. Gate City Blvd., Suite A",,Greensboro,27403,https://cnnc.uncg.edu/immigrant-health-access-project/,336-334-9889,The Immigrant Health Access Project (IHAP) utilizes the community health worker model to reduce these barriers and promote access to care for uninsured immigrant and refugee adults in Greater Greensboro.,"Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",
Center for New North Carolinians,Guilford ,Greensboro Refugee Employment Advancement Team,,,,,,,,,"915 W. Gate City Blvd., Suite A",,Greensboro,27403,https://cnnc.uncg.edu/great/,336-334-5466,"The Greensboro Refugee Employment Advancement Team – GREAT – is a collaborative effort of local refugee-serving agencies. Church World Service Greensboro (CWS), New Arrivals Institute (NAI), Montagnard Dega Association (MDA), and CNNC work together to support low-income refugees and immigrants in finding and retaining stable, family-sustaining employment.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",
Center for New North Carolinians,Guilford ,Family Violence Prevention Services,,,,,,,,,"915 W. Gate City Blvd., Suite A",,Greensboro,27403,https://cnnc.uncg.edu/family-violence-prevention-services-program/,336.334.5411,"CNNC’s Family Violence Prevention Services Program aims to address violence among refugee families of Greensboro through community collaboration, education, and capacity-building. Resettled refugees women are vulnerable to family violence, as many continue to endure trauma yet remain unaware of their legal rights and protections within the United States.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",
Center for New North Carolinians,Guilford ,Immigration Services,,,,,,,,,"915 W. Gate City Blvd., Suite A",,Greensboro,27403,https://cnnc.uncg.edu/immigration-services/,336-256-1062,"Recognizing the contributions of immigrants and the value of reuniting families, the mission of the CNNC Immigration Services Program is to give affordable access to those who are eligible to immigrate and/or become U.S Citizens and need immigration counseling.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",
 Women's Resource Center of Greensboro,Guilford,Women's Resource Center of Greensboro,,9:00am-5:00pm,9:00am-7:00pm,9:00am-5:00pm,9:00am-7:00pm,,,,628 Summit Avenue,,Greensboro,27405,https://www.womenscentergso.org/,,"The mission of the WRC is to promote the self-reliance of women by assessing needs, providing services and acting as a gateway to community resources. WRC provides help with empowerment through workshops and access to legal resources, job strategies, and  community resource counseling.",Beginning Wednesday March 25th the WRC will be closed to the public. We will continue to offer Resource & Referral Services and Attorney Hotline Appointments via email at info@womenscentergso.org. For Job Search Assistance you can contact Heather Schneck at Heather@womenscentergso.org.The WRC Staff is working with limited access to phones and emailsand will get back with you as soon as possible.,
High Point Medical Center- Esther R. Culp Women's Center,Guilford,Mommy and Me Classes,,,,11:00 AM,,,,,601 N Elm St,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-878-6888,"Mommy and Me Classes are free for moms and their babies, ages 0-8 months old. The classes are presented by nurses, lactation consultants and guest speakers. These relaxed and informal sessions provide opportunities for learning and support. Our goal is to strengthen the parent-infant bond and promote development of strong parenting skills. And, it's a great way to meet other moms and their babies that are experiencing some of the same challenges and rewards as you.",Classes cancelled until further notice,
High Point Medical Center- Esther R. Culp Women's Center,Guilford,Expectant Parenting Classes,,6:30pm-8:30pm,,,,,9:00am-5:00pm,,601 N Elm St,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-878-6888," Every Monday in February, April, June, August and October 6:30pm-8:30pm OR Every Saturday in January, March, May, July, September and November  9am to 5 pm. $20 fee. Attend the entire series or your choice of any class:
Labor, Birth and Pain Control
Cesarean Birth and Postpartum
Infant Feeding – Breastfeeding
Newborn Care",Classes cancelled until further notice,
High Point Medical Center- Esther R. Culp Women's Center,Guilford,Pregnancy/Postpartum Support Group,,,6:30PM-8:00pm,12:00 PM,,,,,601 N Elm St,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-609-7383,Hope-Filled Hearts is a support group that aims to offer hope and support to women who are having a hard time with adjustments related to pregnancy and the postpartum period. Meetings will include opportunities for open discussion as well as education on topics related to motherhood. The group is facilitated by licensed professional counselor. Group meets the 1st Wednesday of each month at noon and the third Tuesday at 6:30.,Classes cancelled until further notice,
UNCG,Guilford,Bringing Out the Best,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,923-A West Gate City Blvd.,,Greensboro,27402,https://bringingoutthebest.uncg.edu/,(336) 334-3120,"Bringing Out the Best is an early intervention program that provides family-centered, community-based services targeting children ages birth to five with social and emotional challenges. Our goal is to increase the number of children in Guilford County that are healthy and ready to succeed as they enter school.",Offices are closed. Staff is working remote. Anyone can call who has children age 0-5 to receive a consultation. Use the following link to request a consultation: https://uncg.qualtrics.com/jfe/form/SV_bJdkZ3E6vKMv8fr,
