"Organization","County","Program","lastUpdated","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Address1","Address2","City","Zip","website","Phone","Description","Notes","Serves","AddressLine","lon","lat","geoAddress"
"FaithAction International House","Guilford","Immigrant Assistance Center",NA,"9:00 am -5:00pm","10:00 am-6:00pm","9:00 am -5:00pm","10:00 am-6:00 pm","9:00 am -5:00pm","Closed","Closed","705 N. Greene Street",NA,"Greensboro",27401,"https://faithaction.org/","336-379-0037","FaithAction's bilingual staff provide one on one help with: Basic needs (food and diapers, healthcare, and housing issues); FaithAction ID cards; Education opportunities and employment readiness; Safe space and accompaniment for domestic/sexual violence survivors; Emergency assistance to families facing detention and deportation; Referrals for furniture, clothing, legal services, etc.","Due to COVID 19, the office is closed to the public, phone-based appointments only. Call 336-379-0037 and leave a message with the person you want to speak with, they will call back from a private #",NA,"705 N. Greene Street Greensboro, NC",-79.7912896,36.0804364,"705 n greene st, greensboro, nc 27401, usa"
"Room at the Inn","Guilford","Mary Nussbaum Maternity Home",NA,"9:00am -2:00pm","9:00am -2:00pm","9:00am -2:00pm","9:00am -2:00pm","Closed","Closed","Closed","734 Park Ave",NA,"Greensboro",27405,"https://www.roominn.org/","336-996-3788","Room At The Inn, Inc. is an unique, comprehensive program helping homeless single pregnant women with or without previous children. Room at the Inn helps not only during pregnancies but also after the birth of their babies.","Agency offers various programs to residents only. Residents are self isolating due to COVID-19",NA,"734 Park Ave Greensboro, NC",-79.7779884,36.0805823,"734 park ave, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Greensboro HEALS",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","Provides uninsured individuals ages 19-64 with free mental health and substance abuse services.",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Girls Leadership Edge",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","is an evidence-based leadership skills development curriculum designed for girls ages 13 to 15.",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Greensboro Crisis Response Iniative",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","A trauma-informed, culturally-competent, and comprehensive coordinated community response for child victims and their families.",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Kellin Kids",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","A kid developed and kid driven program designed to find solutions for community problems. KK allows volunteer opportunities for children to get involved",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Tree House",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","Provides trauma-informed assessment and treatment services for children, adults and families who have been exposed to stressful events. The goal of the Treehouse is be a bridge from crisis to wellness",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Lindy's Kids",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","Provides assistance to kids and families to help ensure safety and wellness.",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Kellin Foundation","Guilford","Guilford County Trauma Provider Network",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","2110 Golden Gate Drive, Suite B",NA,"Greensboro",27405,"http://www.kellinfoundation.org/","336-429-5600","A  group of providers, law enforcement, and community members that meet monthly and work collaboratively to address the needs of children and families who have experienced trauma.",NA,NA,"2110 Golden Gate Drive, Suite B Greensboro, NC",-79.7843386,36.1016337,"2110 golden gate dr suite b, greensboro, nc 27405, usa"
"Mental Health Greensboro","Guilford","Mental Health Greensboro",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","700 Walter Reed Dr.,",NA,"Greensboro",27403,"https://www.mhag.org/","336-373-1402","Public education services include Mental Health First Aid and QPR Suicide Intervention, and the Provider Academy that provides educational opportunities for healthcare professionals","Closed until further notice. All Support groups and events canceled.",NA,"700 Walter Reed Dr., Greensboro, NC",-79.8229881,36.0828073,"700 walter reed dr, greensboro, nc 27403, usa"
"Postpartum Support International","Guilford","Postpartum Support International",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed",NA,NA,NA,NA,"https://www.postpartum.net/","800-944-4773","24 hour hotline for mothers experiencing postpartum depression, online support groups, provider directory",NA,NA,NA,-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Therapeutic Alternatives","Guilford","Mobile Crisis",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed",NA,NA,NA,NA,"https://www.mytahome.com/mobile-crisis","1-877-626-1772","Mobile Crisis Management provides immediate crisis response 24 hours a day, 7 days a week. Services include: telephone assessments, face-to-face evaluation when needed, educational services for crisis prevention, evaluations for safety, access to crisis stabilization interventions for mental health and/or substance abuse services, development of a crisis plan for current and future use, assistance with hospitalizations, and integrated crisis response and crisis prevention activities with linkage to ongoing services if needed. **This can definitely be paired down**",NA,NA,NA,-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Therapeutic Alternatives","Guilford","Corporate offices",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","PO Box 814",NA,"Randleman",27317,NA,"336-495-2700",NA,NA,NA,"PO Box 814 Randleman, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Therapeutic Alternatives","Guilford","Asheboro office",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","962 S. Fayetteville Street",NA,"Asheboro",27203,NA,"336-626-1700",NA,NA,NA,"962 S. Fayetteville Street Asheboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","Adopt a Mom",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1203 Maple St.",NA,"Greensboro",27405,"https://www.guilfordcountync.gov/our-county/human-services/health-department/health-and-wellness/coalition-on-infant-mortality-and-the-adopt-a-mom-program","336-641-6775","The Adopt-A-Mom Program is sponsored by the Coalition on Infant Mortality and coordinates prenatal care for low to medium-risk pregnant women who are not eligible for Medicaid, do not have private insurance to cover the cost of care, and cannot afford to pay out of pocket for care.","Taking intakes by phone and forgoing $100 fee during this time frame, as well as signatures on documents",NA,"1203 Maple St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","Care Coordination for Children (CC4C)",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1203 Maple. St.",NA,"Greensboro",27405,"https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/care-coordination-for-children-cc4c","336-641-7641","The Care Coordination for Children (CC4C) Program is a free case management service for eligible children from birth up to five years of age. We serve children born at risk for developmental delays, children who have difficulty learning to speak or doing other things that a typical toddler or preschooler can and children whose parents have a concern that “something isn’t right”.",NA,NA,"1203 Maple. St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","Children's Developmental Services Agencies (CDSAs)",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","122 N. Elm St.",NA,"Greensboro",27401,"https://beearly.nc.gov/index.php/contact/cdsa","336-334-5601","Local Children's Developmental Services Agencies (CDSAs) are available to help families, caregivers, and professionals serve children with special needs through our Infant Toddler Program.","As of March 18, 2020, the North Carolina Infant-Toddler Program (ITP) is suspending face-to-face services until March 30, 2020, unless extended beyond that date. The program will be providing alternate methods to ensure the best support for our families during this difficult time and ensure service continuity.",NA,"122 N. Elm St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","Case Management for High Risk Pregnancy (CMHRP) formerly OBCM",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1100 E. Wendover Ave.",NA,"Greensboro",27405,"https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services","336-641-3700","The Pregnancy Care Management Program is a free care management service available to pregnant women enrolled in North Carolina Medicaid and to a limited number of low income, uninsured pregnant women.","CMHRP CM’s will not be providing face to face visits with patients at several OB practice upon providers request in light of COVID-19",NA,"1100 E. Wendover Ave. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","Family Connects",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1203 Maple St.",NA,"Greensboro",27405,"https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services","336-641-3085","Guilford Family Connects offers nurse home visits to all deliveries throughout Guilford County. Nurse home visits provide support, education, and early identification and referral of health & safety concerns.",NA,NA,"1203 Maple St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Guilford Child Development","Guilford","Nurse Family Partnership",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1200 Arlington St.",NA,"Greensboro",27406,"https://guilfordchilddev.org/parents/baby/","336-369-5080","Nurse Family Partnership works by having specially trained nurses regularly visit young, first-time moms-to-be, starting early in the pregnancy, and continuing through the child's second birthday","NFP is not physically seeing clients. They are using telehealth to connect with clients.",NA,"1200 Arlington St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"YWCA HP","Guilford","Baby Basics Program",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","155 W Westwood Ave",NA,"High Point",27262,"https://ywcahp.com/","336-882-4126","Baby Basics offers families with young children assistance with basic needs including clothing, diapers, baby food, empowerment exercises, and car seats.","YWCA HP is closed. Baby Basics closet will offer a drive-through on Friday, March 27th from 9am-11am only.",NA,"155 W Westwood Ave High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","WIC",NA,"8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","Closed","Closed","1100 E. Wendover Avenue",NA,"Greensboro",27405,"https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works","336-641-3214","The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.","The Greensboro office is open until 7:00 p.m. on the first and third Tuesday of every month. The Greensboro office reserves the last Tuesday morning of each month for staff meetings. The office is closed between 8:00 and 11:00 a.m. on those days.",NA,"1100 E. Wendover Avenue Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Department of Public Health","Guilford","WIC",NA,"8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","8pm-11am & 1pm-4pm","Closed","Closed","501 E. Green Drive",NA,"High Point",27260,"https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works","336-641-7571","The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.","The High Point office is open until 7:00 p.m. on the second Tuesday of every month. The High Point office reserves the 3rd Tuesday morning of each month for staff meetings. The office is closed between 8:00 and 11:00 am on those days.",NA,"501 E. Green Drive High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Greensboro Transit Agency","Guilford","Greensboro Transit Agency",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","300 West Washington Street",NA,"Greensboro",27401,"https://www.greensboro-nc.gov/departments/transportation/gdot-divisions/greensboro-transit-agency-public-transportation-division","336-373-2489","GTA provids quality public transportation services to Greensboro residents and visitors","Until further notice, GTA will operate hourly service along normal routes. This will allow time for cleaning and sanitizing of buses throughout the day.",NA,"300 West Washington Street Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Parents as Teachers","Guilford","Parents as Teachers",NA,"8:30am - 5:00pm","8:30am - 5:00pm","8:30am - 5:00pm","8:30am - 5:00pm","8:30am - 5:00pm","Closed","Closed","415 N. Edgeworth Suite 206",NA,"Greensboro",27455,"https://patgc.org/","336-691-0024","Parents as Teachers Guilford County was built on the principle that parents are their child’s first and best teachers. All parents, regardless of personal circumstances, can be empowered to gain control over difficult life events and can interact with their children in a way that facilitates healthy development. Through the combined use of personal visits, group connections, developmental screenings and our resource network, our Parent Educators partner with more than 70 families a year to help build their capacity to support their child’s development.","PATGC has suspended any home visits until Monday, March 30th. At that time we plan to continue services thru virtual platforms or by phone, whatever is best for each individual family. We will not be doing any on-ground group connections but will be looking at was to help families connect virtually. We will still be doing screenings, virtually and connecting families with needed resources as they share their needs.",NA,"415 N. Edgeworth Suite 206 Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"YWCA GSO","Guilford","Teen Parent Mentor Program",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","1807 East Wendover Ave.",NA,"Greensboro",27405,"https://ywcagsonc.org/","336.273.3461 ext. 210","The YWCA Teen Parent Mentor Program (TPMP) helps teen mothers succeed in school, postpone subsequent births to beyond adolescence, and deliver and raise healthy, school-ready children.","All TPMP group programs are cancelled until further notice. Staff are maintaining contact with participants via calls, Facetime, Facebook Messenger, Zoom meetings.",NA,"1807 East Wendover Ave. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Salvation Army","Guilford","Center of Hope Crisis Assistance",NA,"9:00am- 5:00pm","9:00am- 5:00pm","9:00am- 5:00pm","9:00am- 5:00pm","9:00am- 5:00pm","Closed","Closed","1311 S. Eugene Street",NA,"Greensboro",27406,"https://www.salvationarmycarolinas.org/greensboro/center-of-hope/","(336)235-0348","When men, women and children have nowhere else to go, they can count on The Salvation Army Center of Hope. Each program is graduated to step clients from the point of crisis to the point of resolution. These programs include emergency shelter, rapid rehousing, and supportive services for veterans.","Due to COVID-19- not accepting new applications for shelter until April 1st. Shelter Applications: Monday, Wednesday, and Friday 9:00am-1:00pm. Shelter Admittance: Tuesday and Thursday",NA,"1311 S. Eugene Street Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Reading Connections","Guilford","Reading Connections",NA,"8:30am-5:00pm","8:30am-5:00pm","8:30am-5:00pm","8:30am-5:00pm","8:30am-5:00pm","Closed","Closed","122 North Elm Street, Suite 920",NA,"Greensboro",27401,"https://readingconnections.org/","(336) 230-2223","RC is a nonprofit agency that provides innovative programs designed to improve literacy, language skills, educational equity, and self-esteem for adults in Guilford County, N.C.","COVID-19 update: classes cancelled until may; classes for ESOL, career coaching, computer literacy, high school equivalency, detention center literacy, adult education, and family literacy",NA,"122 North Elm Street, Suite 920 Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Reading Connections","Guilford","Reading Connections",NA,"9:00am-5:00pm","9:00am-5:00pm","9:00am-5:00pm","9:00am-5:00pm","9:00am-5:00pm","Closed","Closed","901 N. Main Street",NA,"High Point",27262,"https://readingconnections.org/","(336) 884-7323","RC is a nonprofit agency that provides innovative programs designed to improve literacy, language skills, educational equity, and self-esteem for adults in Guilford County, N.C.","COVID-19 update: classes cancelled until may; classes for ESOL, career coaching, computer literacy, high school equivalency, detention center literacy, adult education, and family literacy",NA,"901 N. Main Street High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Greensboro Parks & Recreation","Guilford","Greensboro Parks & Recreation",NA,"10:00am-3:00pm","10:00am-3:00pm","10:00am-3:00pm","10:00am-3:00pm","10:00am-3:00pm","Closed","Closed","1001 Fourth St.",NA,"Greensboro",27405,"https://www.greensboro-nc.gov/departments/parks-recreation","336-373-2558","The Greensboro Parks and Recreation Department exists to provide professional and diverse leisure opportunities through inclusive programs, facilities, parks, and open space, ensuring that Greensboro is a desirable place to work, live, and play.","COVID-19 update: Online programs will be live streamed on facebook as all programs on site have been cancelled or postponed. From March 16-27, all manned Parks and Recreation facilities, such as recreation centers, regional parks, and lakes, will be open limited hours of 10 am to 3 pm. Those facilities will be closed Sunday, March 22. All trails, greenways, and neighborhood parks will continue to be open dawn until dusk.",NA,"1001 Fourth St. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Guilford County Partnership for Children","Guilford","NC Pre-K",NA,"8:30am -4:30pm","8:30am -4:30pm","8:30am -4:30pm","8:30am -4:30pm","8:30am -4:30pm","Closed","Closed","500 W. Friendly Ave. Suite 100",NA,"Greensboro",27401,"https://www.guilfordchildren.org/families/nc-pre-k-4-yr-olds/","336-274-5437","The program is free to participants with the goal of helping young children (whose families financially qualify) prepare for kindergarten. NC Pre-K sites include public elementary schools, Head Start Centers and private childcare centers throughout Guilford County.","COVID-19: Beginning Monday, March 16, the Partnership office will be closed to the public. We will continue to accept 2020-2021 NC Pre-K applications by Drop-Off Only. We now have a drop box inside our office.  
You may drop off your NC Pre-K application, Monday to Friday.  When you enter our front door, just walk straight, and you will see the drop box in the door.  Please staple or paperclip your application and documents together.
",NA,"500 W. Friendly Ave. Suite 100 Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Guilford County Child Development","Guilford","Head Start/Early Head Start",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","1200 Arlington Street",NA,"Greensboro",27406,"https://guilfordchilddev.org/","(336) 369-5097","a federally funded holistic child development program that promotes healthy prenatal care for pregnant women, enhances the development of very young children (ages 0 to 5), and promotes healthy family effectiveness.","COVID-19: Classes are cancelled and main offices are closed. Pick-up and Go/Bus Meal Delivery has begun for GCD families. Find the Pick-up and Go schedule on the website.",NA,"1200 Arlington Street Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Center for New North Carolinians","Guilford","Thriving at Three",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","915 W. Gate City Blvd., Suite A",NA,"Greensboro",27403,"https://cnnc.uncg.edu/thriving-at-three/","336.256.1066","The purpose of Thriving at Three is to assure that Latino immigrant children in Greensboro have a positive and strong foundation from birth to three. The CNNC accomplishes this goal by delivering long-term at-home services to at-risk families until the child’s third year – partnering with the parents to provide direct intervention, parenting education, group meetings, case management, referrals, and care coordination for up to the child’s third year.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",NA,"915 W. Gate City Blvd., Suite A Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Center for New North Carolinians","Guilford","Immigrant Health ACCESS Project",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","915 W. Gate City Blvd., Suite A",NA,"Greensboro",27403,"https://cnnc.uncg.edu/immigrant-health-access-project/","336-334-9889","The Immigrant Health Access Project (IHAP) utilizes the community health worker model to reduce these barriers and promote access to care for uninsured immigrant and refugee adults in Greater Greensboro.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",NA,"915 W. Gate City Blvd., Suite A Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Center for New North Carolinians","Guilford","Greensboro Refugee Employment Advancement Team",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","915 W. Gate City Blvd., Suite A",NA,"Greensboro",27403,"https://cnnc.uncg.edu/great/","336-334-5466","The Greensboro Refugee Employment Advancement Team – GREAT – is a collaborative effort of local refugee-serving agencies. Church World Service Greensboro (CWS), New Arrivals Institute (NAI), Montagnard Dega Association (MDA), and CNNC work together to support low-income refugees and immigrants in finding and retaining stable, family-sustaining employment.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",NA,"915 W. Gate City Blvd., Suite A Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Center for New North Carolinians","Guilford","Family Violence Prevention Services",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","915 W. Gate City Blvd., Suite A",NA,"Greensboro",27403,"https://cnnc.uncg.edu/family-violence-prevention-services-program/","336.334.5411","CNNC’s Family Violence Prevention Services Program aims to address violence among refugee families of Greensboro through community collaboration, education, and capacity-building. Resettled refugees women are vulnerable to family violence, as many continue to endure trauma yet remain unaware of their legal rights and protections within the United States.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",NA,"915 W. Gate City Blvd., Suite A Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Center for New North Carolinians","Guilford","Immigration Services",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","915 W. Gate City Blvd., Suite A",NA,"Greensboro",27403,"https://cnnc.uncg.edu/immigration-services/","336-256-1062","Recognizing the contributions of immigrants and the value of reuniting families, the mission of the CNNC Immigration Services Program is to give affordable access to those who are eligible to immigrate and/or become U.S Citizens and need immigration counseling.","Office is closed to the public. We are providing support over the phone, zoom or FaceTime.Offices will be closed starting 3/19/2020. Staff will be working remote.",NA,"915 W. Gate City Blvd., Suite A Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Women's Resource Center of Greensboro","Guilford","Women's Resource Center of Greensboro",NA,"9:00am-5:00pm","9:00am-7:00pm","9:00am-5:00pm","9:00am-7:00pm","Closed","Closed","Closed","628 Summit Avenue",NA,"Greensboro",27405,"https://www.womenscentergso.org/",NA,"The mission of the WRC is to promote the self-reliance of women by assessing needs, providing services and acting as a gateway to community resources. WRC provides help with empowerment through workshops and access to legal resources, job strategies, and  community resource counseling.","Beginning Wednesday March 25th the WRC will be closed to the public. We will continue to offer Resource & Referral Services and Attorney Hotline Appointments via email at info@womenscentergso.org. For Job Search Assistance you can contact Heather Schneck at Heather@womenscentergso.org.The WRC Staff is working with limited access to phones and emailsand will get back with you as soon as possible.",NA,"628 Summit Avenue Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"High Point Medical Center- Esther R. Culp Women's Center","Guilford","Mommy and Me Classes",NA,"Closed","Closed","11:00 AM","Closed","Closed","Closed","Closed","601 N Elm St",NA,"High Point",27262,"https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center","336-878-6888","Mommy and Me Classes are free for moms and their babies, ages 0-8 months old. The classes are presented by nurses, lactation consultants and guest speakers. These relaxed and informal sessions provide opportunities for learning and support. Our goal is to strengthen the parent-infant bond and promote development of strong parenting skills. And, it's a great way to meet other moms and their babies that are experiencing some of the same challenges and rewards as you.","Classes cancelled until further notice",NA,"601 N Elm St High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"High Point Medical Center- Esther R. Culp Women's Center","Guilford","Expectant Parenting Classes",NA,"6:30pm-8:30pm","Closed","Closed","Closed","Closed","9:00am-5:00pm","Closed","601 N Elm St",NA,"High Point",27262,"https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center","336-878-6888","Every Monday in February, April, June, August and October 6:30pm-8:30pm OR Every Saturday in January, March, May, July, September and November  9am to 5 pm. $20 fee. Attend the entire series or your choice of any class:
Labor, Birth and Pain Control
Cesarean Birth and Postpartum
Infant Feeding – Breastfeeding
Newborn Care","Classes cancelled until further notice",NA,"601 N Elm St High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"High Point Medical Center- Esther R. Culp Women's Center","Guilford","Pregnancy/Postpartum Support Group",NA,"Closed","6:30PM-8:00pm","12:00 PM","Closed","Closed","Closed","Closed","601 N Elm St",NA,"High Point",27262,"https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center","336-609-7383","Hope-Filled Hearts is a support group that aims to offer hope and support to women who are having a hard time with adjustments related to pregnancy and the postpartum period. Meetings will include opportunities for open discussion as well as education on topics related to motherhood. The group is facilitated by licensed professional counselor. Group meets the 1st Wednesday of each month at noon and the third Tuesday at 6:30.","Classes cancelled until further notice",NA,"601 N Elm St High Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"UNCG","Guilford","Bringing Out the Best",NA,"8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","8:00am - 5:00pm","Closed","Closed","923-A West Gate City Blvd.",NA,"Greensboro",27402,"https://bringingoutthebest.uncg.edu/","(336) 334-3120","Bringing Out the Best is an early intervention program that provides family-centered, community-based services targeting children ages birth to five with social and emotional challenges. Our goal is to increase the number of children in Guilford County that are healthy and ready to succeed as they enter school.","Offices are closed. Staff is working remote. Anyone can call who has children age 0-5 to receive a consultation. Use the following link to request a consultation: https://uncg.qualtrics.com/jfe/form/SV_bJdkZ3E6vKMv8fr",NA,"923-A West Gate City Blvd. Greensboro, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
